iter	Passed	Remaining
0	215	215331
1	237	118329
2	262	87137
3	291	72486
4	320	63689
5	346	57345
6	375	53229
7	400	49677
8	430	47402
9	462	45746
10	492	44276
11	517	42608
12	551	41851
13	579	40801
14	604	39724
15	626	38511
16	659	38163
17	695	37963
18	718	37076
19	740	36306
20	764	35633
21	798	35497
22	833	35398
23	872	35477
24	907	35400
25	934	35019
26	959	34586
27	984	34172
28	1018	34091
29	1053	34071
30	1092	34159
31	1127	34103
32	1158	33957
33	1193	33915
34	1216	33529
35	1236	33119
36	1260	32797
37	1285	32555
38	1306	32194
39	1325	31809
40	1354	31692
41	1378	31441
42	1398	31130
43	1424	30941
44	1452	30819
45	1476	30617
46	1505	30520
47	1528	30318
48	1552	30137
49	1598	30364
50	1626	30269
51	1655	30189
52	1683	30082
53	1707	29917
54	1733	29779
55	1751	29531
56	1771	29299
57	1789	29060
58	1809	28862
59	1827	28628
60	1842	28357
61	1855	28076
62	1871	27829
63	1888	27620
64	1906	27420
65	1922	27206
66	1936	26961
67	1955	26803
68	1969	26571
69	1984	26363
70	2002	26201
71	2016	25994
72	2032	25805
73	2048	25629
74	2063	25447
75	2081	25311
76	2103	25216
77	2121	25075
78	2137	24921
79	2153	24762
80	2169	24612
81	2185	24465
82	2203	24347
83	2222	24234
84	2239	24106
85	2255	23969
86	2270	23828
87	2286	23694
88	2302	23568
89	2318	23442
90	2334	23321
91	2350	23194
92	2365	23068
93	2380	22942
94	2396	22825
95	2409	22691
96	2427	22597
97	2438	22444
98	2449	22295
99	2462	22162
100	2474	22029
101	2489	21914
102	2501	21785
103	2516	21677
104	2529	21563
105	2546	21479
106	2564	21400
107	2578	21300
108	2591	21184
109	2602	21054
110	2614	20942
111	2629	20845
112	2641	20737
113	2653	20622
114	2664	20501
115	2677	20404
116	2690	20301
117	2702	20196
118	2714	20093
119	2726	19997
120	2739	19903
121	2752	19811
122	2766	19722
123	2779	19633
124	2793	19553
125	2808	19483
126	2822	19403
127	2834	19311
128	2845	19211
129	2857	19124
130	2870	19039
131	2885	18972
132	2898	18896
133	2910	18807
134	2922	18725
135	2936	18652
136	2948	18575
137	2960	18492
138	2974	18423
139	2991	18374
140	3007	18324
141	3025	18279
142	3043	18238
143	3059	18188
144	3075	18134
145	3093	18095
146	3114	18071
147	3135	18050
148	3156	18030
149	3175	17994
150	3192	17952
151	3213	17929
152	3236	17917
153	3262	17921
154	3288	17925
155	3312	17921
156	3339	17929
157	3361	17912
158	3383	17893
159	3410	17906
160	3430	17878
161	3451	17854
162	3471	17823
163	3500	17842
164	3523	17829
165	3542	17799
166	3564	17777
167	3583	17748
168	3604	17724
169	3625	17700
170	3645	17673
171	3671	17673
172	3692	17651
173	3713	17627
174	3736	17614
175	3765	17630
176	3788	17613
177	3808	17587
178	3829	17564
179	3848	17531
180	3863	17483
181	3878	17432
182	3892	17378
183	3909	17336
184	3924	17289
185	3940	17243
186	3956	17200
187	3972	17155
188	3987	17110
189	4003	17069
190	4019	17025
191	4036	16985
192	4052	16944
193	4068	16903
194	4085	16865
195	4102	16826
196	4119	16790
197	4134	16748
198	4149	16701
199	4165	16663
200	4184	16632
201	4198	16587
202	4213	16543
203	4230	16507
204	4245	16463
205	4258	16413
206	4274	16375
207	4289	16332
208	4301	16280
209	4316	16236
210	4330	16191
211	4343	16143
212	4357	16098
213	4368	16045
214	4381	15998
215	4395	15952
216	4409	15909
217	4423	15868
218	4436	15820
219	4447	15767
220	4460	15722
221	4473	15678
222	4487	15634
223	4498	15585
224	4510	15535
225	4522	15489
226	4535	15444
227	4546	15394
228	4560	15352
229	4580	15335
230	4600	15316
231	4614	15274
232	4629	15240
233	4644	15204
234	4661	15174
235	4678	15146
236	4695	15115
237	4710	15082
238	4728	15055
239	4740	15011
240	4754	14974
241	4768	14936
242	4783	14900
243	4798	14867
244	4814	14836
245	4829	14802
246	4843	14766
247	4857	14728
248	4870	14688
249	4887	14661
250	4914	14666
251	4934	14645
252	4951	14618
253	4969	14596
254	4995	14593
255	5011	14564
256	5027	14535
257	5043	14503
258	5058	14471
259	5071	14433
260	5086	14400
261	5098	14360
262	5114	14333
263	5133	14312
264	5147	14276
265	5161	14242
266	5177	14213
267	5191	14179
268	5205	14146
269	5220	14115
270	5234	14082
271	5247	14044
272	5259	14006
273	5273	13974
274	5288	13942
275	5303	13913
276	5318	13881
277	5331	13845
278	5342	13806
279	5355	13772
280	5369	13739
281	5384	13710
282	5404	13692
283	5421	13667
284	5437	13641
285	5453	13615
286	5469	13586
287	5483	13557
288	5498	13527
289	5514	13499
290	5528	13470
291	5541	13436
292	5554	13403
293	5568	13371
294	5582	13341
295	5599	13316
296	5614	13288
297	5629	13261
298	5644	13233
299	5659	13204
300	5673	13176
301	5688	13146
302	5705	13124
303	5718	13092
304	5731	13060
305	5746	13033
306	5760	13003
307	5774	12974
308	5789	12947
309	5807	12925
310	5829	12913
311	5856	12913
312	5877	12900
313	5894	12878
314	5911	12854
315	5928	12831
316	5942	12803
317	5957	12776
318	5974	12754
319	5990	12729
320	6009	12711
321	6024	12684
322	6039	12657
323	6055	12633
324	6070	12608
325	6085	12582
326	6112	12579
327	6146	12593
328	6176	12596
329	6202	12592
330	6228	12588
331	6255	12586
332	6282	12583
333	6304	12570
334	6330	12566
335	6353	12556
336	6387	12566
337	6437	12608
338	6467	12611
339	6502	12622
340	6530	12620
341	6553	12608
342	6578	12601
343	6598	12583
344	6666	12657
345	6744	12747
346	6794	12786
347	6832	12801
348	6858	12792
349	6875	12769
350	6888	12737
351	6900	12703
352	6913	12672
353	6927	12641
354	6945	12618
355	6960	12590
356	6980	12572
357	7004	12560
358	7040	12571
359	7071	12570
360	7088	12547
361	7107	12526
362	7123	12500
363	7144	12483
364	7160	12457
365	7178	12434
366	7192	12405
367	7209	12381
368	7224	12353
369	7239	12327
370	7256	12303
371	7271	12274
372	7284	12244
373	7302	12223
374	7317	12196
375	7333	12170
376	7347	12142
377	7361	12113
378	7377	12088
379	7396	12067
380	7421	12056
